# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000324	ENSMODG00000000324	25.0	17.0	13.0	14.0	13.0	4.0
ENSMODG00000000325	PTPN4	8.0	17.0	3.0	3.0	2.0	7.0
ENSMODG00000000326	GTPBP6	11.0	8.0	12.0	7.0	6.0	10.0
ENSMODG00000000327	ENSMODG00000000327	0.4	0.2	2.0	2.0	4.0	8.0
ENSMODG00000000328	ENSMODG00000000328	3.0	2.0		8.0	2.0	13.0
ENSMODG00000000329	PKP1	9.0		0.1	0.3	0.2	
ENSMODG00000000330	IVD	29.0	47.0	163.0	183.0	84.0	33.0
ENSMODG00000000333	ENSMODG00000000333	0.2	0.2				
ENSMODG00000000334	ENSMODG00000000334	44.0	21.0	16.0	207.0	40.0	16.0
ENSMODG00000000336	GAB1	24.0	26.0	21.0	24.0	8.0	18.0
ENSMODG00000000337	MROH8	0.9	0.3		0.1		14.0
ENSMODG00000000338	ENSMODG00000000338	6.0	4.0	5.0	7.0	5.0	3.0
ENSMODG00000000339	EML4	7.0	8.0	2.0	10.0	5.0	85.0
ENSMODG00000000340	ENSMODG00000000340	35.0	38.0	212.0	283.0	81.0	27.0
ENSMODG00000000342	COX7A2L	124.0	85.0	162.0	155.0	80.0	47.0
ENSMODG00000000343	ADPRM	6.0	4.0	2.0	5.0	3.0	3.0
ENSMODG00000000344	TNNI3K	0.3	0.5	78.0	0.2		2.0
ENSMODG00000000345	MILL-like	2.0	5.0	4.0	3.0	3.0	0.9
ENSMODG00000000346	SEC24C	70.0	118.0	54.0	94.0	109.0	124.0
ENSMODG00000000347	PLCXD1	1.0	0.8	1.0	8.0	12.0	2.0
ENSMODG00000000348	DENND2C	2.0	9.0	1.0	1.0	0.8	6.0
ENSMODG00000000349	ENSMODG00000000349	4.0	5.0	2.0	1.0	0.6	1.0
ENSMODG00000000350	KCNG3	7.0	0.1		0.2		6.0
